iter	Passed	Remaining
0	149	44602
1	162	24246
2	178	17702
3	196	14570
4	216	12775
5	234	11469
6	248	10392
7	268	9796
8	285	9241
9	302	8784
10	317	8331
11	330	7932
12	345	7627
13	365	7462
14	380	7233
15	396	7042
16	414	6898
17	432	6769
18	450	6660
19	471	6596
20	488	6483
21	506	6405
22	522	6291
23	536	6175
24	554	6098
25	571	6020
26	588	5951
27	605	5884
28	623	5826
29	641	5773
30	655	5690
31	671	5627
32	692	5601
33	710	5555
34	730	5532
35	754	5533
36	774	5506
37	796	5492
38	814	5449
39	836	5436
40	855	5401
41	876	5382
42	892	5335
43	910	5294
44	927	5254
45	944	5214
46	960	5170
47	978	5138
48	997	5111
49	1014	5072
50	1030	5032
51	1049	5004
52	1065	4966
53	1082	4932
54	1100	4900
55	1117	4869
56	1135	4839
57	1153	4812
58	1170	4782
59	1187	4751
60	1203	4713
61	1222	4693
62	1242	4672
63	1260	4646
64	1278	4622
65	1294	4590
66	1310	4558
67	1329	4534
68	1346	4508
69	1364	4483
70	1381	4456
71	1399	4433
72	1418	4411
73	1436	4387
74	1453	4359
75	1470	4334
76	1488	4311
77	1504	4280
78	1523	4260
79	1541	4238
80	1558	4214
81	1575	4188
82	1593	4165
83	1611	4144
84	1626	4115
85	1643	4089
86	1662	4070
87	1680	4047
88	1697	4024
89	1717	4006
90	1734	3984
91	1751	3960
92	1768	3936
93	1785	3912
94	1805	3895
95	1825	3878
96	1840	3851
97	1855	3825
98	1872	3801
99	1889	3778
100	1907	3757
101	1933	3753
102	1958	3745
103	1977	3726
104	1994	3703
105	2018	3693
106	2035	3670
107	2055	3653
108	2074	3634
109	2092	3613
110	2110	3593
111	2126	3569
112	2140	3542
113	2158	3521
114	2176	3501
115	2192	3478
116	2208	3453
117	2225	3432
118	2241	3409
119	2261	3391
120	2278	3370
121	2293	3345
122	2308	3321
123	2325	3301
124	2339	3275
125	2354	3251
126	2373	3233
127	2391	3214
128	2409	3193
129	2427	3174
130	2445	3154
131	2460	3131
132	2479	3113
133	2499	3096
134	2516	3076
135	2535	3057
136	2553	3037
137	2569	3016
138	2583	2992
139	2602	2974
140	2620	2955
141	2638	2935
142	2656	2916
143	2674	2897
144	2690	2875
145	2709	2858
146	2727	2838
147	2745	2819
148	2763	2800
149	2780	2780
150	2796	2759
151	2816	2742
152	2835	2724
153	2854	2706
154	2871	2686
155	2888	2666
156	2905	2646
157	2925	2629
158	2942	2609
159	2959	2589
160	2977	2570
161	2999	2555
162	3020	2538
163	3037	2518
164	3054	2498
165	3071	2479
166	3089	2460
167	3109	2443
168	3128	2424
169	3144	2404
170	3160	2384
171	3177	2364
172	3191	2342
173	3206	2322
174	3224	2303
175	3242	2284
176	3259	2264
177	3276	2245
178	3293	2226
179	3311	2207
180	3329	2188
181	3348	2170
182	3365	2151
183	3384	2133
184	3401	2114
185	3418	2095
186	3435	2075
187	3453	2057
188	3471	2038
189	3490	2020
190	3507	2001
191	3522	1981
192	3537	1961
193	3556	1943
194	3575	1925
195	3594	1907
196	3611	1888
197	3629	1869
198	3645	1850
199	3665	1832
200	3683	1814
201	3701	1795
202	3719	1777
203	3737	1759
204	3757	1741
205	3775	1722
206	3790	1703
207	3808	1684
208	3825	1665
209	3844	1647
210	3861	1628
211	3878	1610
212	3898	1592
213	3915	1573
214	3931	1554
215	3948	1535
216	3965	1516
217	3982	1498
218	4000	1479
219	4015	1460
220	4033	1441
221	4050	1423
222	4066	1404
223	4084	1385
224	4101	1367
225	4118	1348
226	4135	1329
227	4151	1311
228	4169	1292
229	4187	1274
230	4206	1256
231	4222	1237
232	4238	1218
233	4251	1199
234	4267	1180
235	4284	1162
236	4302	1143
237	4320	1125
238	4336	1106
239	4353	1088
240	4369	1069
241	4389	1051
242	4406	1033
243	4426	1015
244	4443	997
245	4460	979
246	4477	960
247	4493	942
248	4513	924
249	4531	906
250	4548	887
251	4565	869
252	4584	851
253	4600	833
254	4619	815
255	4637	797
256	4655	778
257	4673	760
258	4690	742
259	4705	723
260	4724	705
261	4742	687
262	4760	669
263	4778	651
264	4796	633
265	4811	615
266	4831	597
267	4849	579
268	4867	560
269	4886	542
270	4903	524
271	4920	506
272	4939	488
273	4958	470
274	4975	452
275	4994	434
276	5014	416
277	5036	398
278	5054	380
279	5070	362
280	5086	343
281	5101	325
282	5116	307
283	5132	289
284	5150	271
285	5168	252
286	5186	234
287	5201	216
288	5219	198
289	5239	180
290	5257	162
291	5276	144
292	5292	126
293	5309	108
294	5326	90
295	5343	72
296	5360	54
297	5376	36
298	5392	18
299	5408	0
